NO,회사명,공고명,지역,상세보기 페이지
59,(주)다이트랩,"[다이트랩] SQL, Python 활용 데이터분석 경력직 채용(3년이상)",서울 강남구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53677069&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=848b1015-cb96-48a9-b4cb-a1879ef717f2
60,(주)지에스에프솔루션,"[GSF솔루션] 스마트제조 SW개발자 채용(Python, AI)",경기 성남시 분당구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53853846&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=848b1015-cb96-48a9-b4cb-a1879ef717f2
61,(주)케어랩스,백엔드 개발자 (Python / AI),서울 강남구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53621833&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=848b1015-cb96-48a9-b4cb-a1879ef717f2
62,(주)에이치비테크놀러지,Python Backend 개발 경력사원 채용,서울 강남구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53625284&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=848b1015-cb96-48a9-b4cb-a1879ef717f2
63,(주)지오스토리,"[지오스토리] Python, 웹 개발자 신입/경력직 채용",서울 강서구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53769783&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=848b1015-cb96-48a9-b4cb-a1879ef717f2
64,(주)바이브컴퍼니,Python 기반 자연어처리(NLP) AI 개발자 경력직 채용,서울 종로구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53849649&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=848b1015-cb96-48a9-b4cb-a1879ef717f2
65,(주)이수시스템,Python 개발 채용,서울 서초구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53847922&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=848b1015-cb96-48a9-b4cb-a1879ef717f2
66,(주)큐드,"[의왕] SW테스트엔지니어(QA) Python,SQL 가능자 모집",경기 의왕시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53607063&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=848b1015-cb96-48a9-b4cb-a1879ef717f2
67,글로벌엠아이지,"Flutter, PHP 또는 Python 2년 이상 실무 개발자",서울 성동구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53654598&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=848b1015-cb96-48a9-b4cb-a1879ef717f2
68,(주)왓섭,"[금융, IT] Python 백엔드 개발자 3년차",서울 영등포구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53728118&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=848b1015-cb96-48a9-b4cb-a1879ef717f2
69,(주)인터로이드,업무시스템 개발 PM (Java/Python 기반),서울 강남구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53771612&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=848b1015-cb96-48a9-b4cb-a1879ef717f2
70,예진(주),프론트엔드 개발자 (React / Next.js / Python),서울 송파구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53835994&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=848b1015-cb96-48a9-b4cb-a1879ef717f2
